Case Title,Petitioner,Respondent,Year,Date of Judgment,Bench,Case Type,Statutes Referenced,Citation,Outcome,Headnote,PDF_File,Folder,FullText_Sample
Oriental Insurance Company Ltd vs Munimahesh Patel,Oriental Insurance Company Ltd.,Munimahesh Patel,2006,12 September 2006,,Deficiency in Service,,,appeal is allowed,,Oriental_Insurance_Company_Ltd_vs_Munimahesh_Patel_on_12_September_2006_1.PDF,2006,"Oriental Insurance Company Ltd vs Munimahesh Patel on 12
September, 2006
Equivalent citations: AIRONLINE 2006 SC 652
Author: Arijit Pasayat
Bench: Arijit Pasayat, Lokeshwar Singh Panta
           CASE NO.:
Appeal (civil)  4091 of 2006
PETITIONER:
Oriental Insurance Company Ltd.
RESPONDENT:
Munimahesh Patel
DATE OF JUDGMENT: 12/09/2006
BENCH:
ARIJIT PASAYAT & LOKESHWAR SINGH PANTA
JUDGMENT:
J U D G M E N T (Arising out of SLP (C) No. 19538 of 2004) ARIJIT PASAYAT, J.
Leave granted.
Appellant calls in question legality of the judgment rendered by the National Consumer Disputes
Redressal Commission, New Delhi (in short the 'Commission'). The Commission upset the order of
the State Commission and held that the appellant was liable to pay to the respondent (hereinafter
referred to as the 'complainant') a sum of Rs.5 lakhs together with interest @ 6% p.a. from the date
of the complaint.
Factual position in a nutshell is essentially as follows:
Smt. Lalitha Devi Patel wife of the complainant had obtained a Janata Personal
Accident Policy for a sum of Rs.5 lakh in August, 1998, for which a premium was paid
and accepted and the policy was issued. The insured died on account of an accident
by way of falling into a well and drowning. FIR was lodged, autopsy was performed
and appellant was informed. Various documents were also furnished claiming
payment in spite of the policy. When the appellantCompany did not settle the claim,
a complaint came to be filed before the Madhya Pradesh Stat"
Percept D Markr India Pvt Ltd vs Zaheer Khan Anr,Percept D'Markr (India) Pvt. Ltd.,Zaheer Khan & Anr.,2006,22 March 2006,,,,AIR 2006 SC 3426,,,Percept_D_Markr_India_Pvt_Ltd_vs_Zaheer_Khan_Anr_on_22_March_2006.PDF,2006,"Percept D'Markr (India) Pvt. Ltd vs Zaheer Khan & Anr on 22
March, 2006
Equivalent citations: AIR 2006 SUPREME COURT 3426, 2006 AIR SCW 1751,
2006 ALL CJ 3 2375, 2006 (2) ARBI LR 34, 2006 (3) SCALE 324, 2006 (4) SCC
227, 2006 (5) COM LJ 224 SC, 2006 (1) CTLJ 100, (2006) 6 ALLMR 9 (SC),
(2006) 5 COMLJ 224, 2006 (6) ALL MR 9 NOC, (2006) 4 MAD LJ 1695, (2006) 3
SCJ 338, (2006) 2 ARBILR 34, (2006) 2 MAD LW 870, (2006) 2 WLC(SC)CVL
375, (2006) 2 CURCC 102, (2006) 2 ALL WC 1869, MANU/SC/1412/2006, (2005)
3 KER LJ 614, (2006) 1 KER LT 37, (2006) 1 RECCIVR 482, (2006) 3 CIVLJ 498,
(2006) 1 CIVILCOURTC 328, (2006) 73 CORLA 8, (2006) 3 SUPREME 186,
(2006) 3 ICC 13, (2006) 3 SCALE 324, (2006) 4 CIVLJ 409, (2006) 5 BOM CR
322, 2006 (2) BOM LR 1017, 2006 BOM LR 2 1017
Author: Ar. Lakshmanan
Bench: H.K. Sema, Ar. Lakshmanan
           CASE NO.:
Appeal (civil)  5573-5574 of 2004
PETITIONER:
Percept D'Markr (India) Pvt. Ltd.                                          
RESPONDENT:
Zaheer Khan & Anr.                                                         
DATE OF JUDGMENT: 22/03/2006
BENCH:
H.K. Sema & Dr. AR. Lakshmanan
JUDGMENT:
J U D G M E N T Dr. AR. Lakshmanan, J.
The above appeals were filed from the common final judgment and order dated 19.12.2003 passed
in Appeal No. 1109/2003 in Arbitration Petition No. 514/2003 and Appeal No. 1110/2003 in
Arbitration Petition No. 514/2003 by the Division Bench of the High Court of Judicature at Bombay
whereby the appeals filed by the appellant against"
Rajasthan Housing Board And Another vs G S Investments And Another,Rajasthan Housing Board and another,G.S. Investments and another,2006,31 October 2006,,,Article 12; Article 226; Article 14,AIR 1996 SC 11,,,Rajasthan_Housing_Board_And_Another_vs_G_S_Investments_And_Another_on_31_October_2006_1.PDF,2006,"Rajasthan Housing Board And Another vs G.S. Investments And
Another on 31 October, 2006
Equivalent citations: 2006 AIR SCW 5968, 2007 (1) SCC 477, (2006) 11 SCALE
166, (2007) 1 ANDHLD 45, (2006) 8 SUPREME 762, (2007) 1 ICC 629, (2007) 1
WLC(SC)CVL 571, (2007) 50 ALLINDCAS 473 (SC), MANU/SC/4683/2006, 2007
(66) ALR SOC 43 (SC)
Author: G.P. Mathur
Bench: G.P. Mathur, A.K. Mathur
           CASE NO.:
Appeal (civil)  4608 of 2006
PETITIONER:
Rajasthan Housing Board and another
RESPONDENT:
G.S. Investments and another
DATE OF JUDGMENT: 31/10/2006
BENCH:
G.P. Mathur & A.K. Mathur
JUDGMENT:
J U D G M E N T CIVIL APPEAL NO. 4608 OF 2006 (Arising out of SLP (C) No. 17916 of 2006) (CC
4919/05) G.P. Mathur, J.
Leave granted.
2. This appeal, by special leave, has been filed challenging the judgments and orders dated 4.8.2004
of a learned single Judge of Rajasthan High Court by which the writ petition filed by respondent No.
1 M/s. G.S. Investments was disposed of with certain directions and also the order dated 23.9.2004
passed by the Division Bench by which the special appeal preferred by the appellants against the
said order was dismissed at the admission stage. The appellants have also challenged the order
dated 4.4.2005 which was passed in the contempt petition initiated by the respondent No. 1.
3. The appellant No. 1 Rajasthan Housing Board published an auction notice on 3.2.2002 for
auction of 50 commercial plots in the Mansarovar Scheme, which was followed by another auction
notic"
Ramdev Food Products Pvt Ltd vs Arvindbhai Rambhai Patel Ors,Ramdev Food Products Pvt. Ltd.,Arvindbhai Rambhai Patel & Ors.,2006,29 August 2006,,,,AIR 2006 SC 3304,,,Ramdev_Food_Products_Pvt_Ltd_vs_Arvindbhai_Rambhai_Patel_Ors_on_29_August_2006_1.PDF,2006,"Ramdev Food Products Pvt. Ltd vs Arvindbhai Rambhai Patel &
Ors on 29 August, 2006
Equivalent citations: AIR 2006 SUPREME COURT 3304, 2006 (8) SCC 726,
2006 AIR SCW 4988, 2006 CLC 1464 (SC), (2007) 1 GUJ LR 594, (2007) 1
WLC(SC)CVL 458, (2007) 1 ALLMR 402 (SC), (2007) 1 CIVLJ 757, (2007) 1 ICC
15, 2006 (2) COPYTR 1, 2006 (8) SCALE 631, (2006) 4 CIVILCOURTC 475,
(2006) 75 CORLA 201, (2006) 6 ANDHLD 36, (2006) 7 SUPREME 224, (2006) 3
GCD 2447 (SC), (2006) 8 SCALE 631, (2006) 33 PTC 281, MANU/SC/3725/2006
Author: S.B.Sinha
Bench: S.B. Sinha, P.P. Naolekar
           CASE NO.:
Appeal (civil)  8815-8816 of 2003
PETITIONER:
Ramdev Food Products Pvt. Ltd.
RESPONDENT:
Arvindbhai Rambhai Patel & Ors.
DATE OF JUDGMENT: 29/08/2006
BENCH:
S.B. Sinha & P.P. Naolekar
JUDGMENT:
J U D G M E N T W I T H CIVIL APPEAL NO.8817 OF 2003 S.B.SINHA, J :
Interpretation of the provisions of the Trade and Merchandise Marks Act, 1958 (for
short ""the 1958 Act"") arises for consideration in these appeals arising out of a
judgment and order dated 08.05.2003 passed by the High Court of Gujarat at
Ahmedabad.
FACTS The appellant is a company incorporated under the Companies Act, 1956. The
other parties to these appeals were/are its Directors.
In the year 1965, one Rambhai Patel started a business of grinding and selling spices
under the name and style of 'Ramdev'. He had three sons and two daughters,
Arvindbhai, Hasmukhbhai and Pravinbhai were his sons. A partnership firm was
constituted in the year 1975. It a"
Alok Shanker Pandey vs Union Of India Ors,Alok Shanker Pandey,Union of India & Ors,2007,15 February 2007,,Deficiency in Service,,AIR 2007 SC 1198,modified,,Alok_Shanker_Pandey_vs_Union_Of_India_Ors_on_15_February_2007_1.PDF,2007,"Alok Shanker Pandey vs Union Of India & Ors on 15 February,
2007
Equivalent citations: AIR 2007 SUPREME COURT 1198, 2007 (3) SCC 545,
2007 AIR SCW 1233, 2007 CLC 1452 (SC), (2007) 2 JCR 358 (SC), 2007
BOMCRSUP 359, (2007) 5 ALLMR 419 (SC), 2007 (3) SCALE 190, (2007) 4 MAD
LJ 205, (2007) 2 SUPREME 249, (2007) 136 COMCAS 258, (2007) 77 CORLA
406, (2007) 2 RECCIVR 783, (2007) 3 SCALE 190, (2007) 2 WLC(SC)CVL 218,
(2007) 2 CPJ 3
Author: Markandey Katju
Bench: S. B. Sinha, Markandey Katju
           CASE NO.:
Appeal (civil)  1598 of 2005
PETITIONER:
Alok Shanker Pandey
RESPONDENT:
Union of India & Ors
DATE OF JUDGMENT: 15/02/2007
BENCH:
S. B. Sinha & Markandey Katju
JUDGMENT:
J U D G M E N T MARKANDEY KATJU, J.
This appeal has been filed against the order passed by the Monopolies and Restrictive Trade Practice
Commission, New Delhi (hereinafter referred to as ""the Commission"") dated 13.9.2004 in C.A.
No.193 of 2001.
Heard learned counsel for the parties and perused the record.
The case of the appellant is that after applying for a flat under the ""Indira Puram Housing Scheme""
in the year 1994, a reservation letter dated 30th March, 1994 was received by him and he was asked
to pay seven installments on the specified dates. The amount as well as the dates on which the
installments were to be paid was mentioned therein. The applicant started paying the installments
as demanded. Subsequently, he opted out for a HIG flat, which was also allotted to him vide letter
dated 17th May, 1994. "
Bangalore Development Authority vs Syndicate Bank,Bangalore Development Authority,Syndicate Bank,2007,17 May 2007,,Deficiency in Service,"Consumer Protection Act, 1986; section 21 of Consumer Protection Act,
1986; Consumer Protection Act,
1986",AIR 2007 SC 2198,,,Bangalore_Development_Authority_vs_Syndicate_Bank_on_17_May_2007_1.PDF,2007,"Bangalore Development Authority vs Syndicate Bank on 17 May,
2007
Equivalent citations: AIR 2007 SUPREME COURT 2198, 2007 (6) SCC 711,
2007 AIR SCW 3859, 2007 (4) ALL LJ 580, 2007 (3) ALL LJ NOC 439, (2008) 3
BOM CR 808, (2008) 1 GUJ LR 624, (2007) 2 WLC(SC)CVL 613, (2007) 6 MAD
LJ 975, (2007) 3 UC 1839, 2007 CORLA(BL SUPP) 220 SC, (2007) 57
ALLINDCAS 194 (SC), 2007 (57) ALLINDCAS 194, 2007 (8) SCALE 200, (2007)
1 CPR 462, (2007) 2 ALL WC 4(79), (2007) 3 ALL WC 2974, (2007) 5 KANT LJ
145, (2007) 8 SCALE 200, (2007) 68 ALL LR 800, (2007) 2 CPJ 17, (2007) 3 CPJ
123
Author: R. V. Raveendran
Bench: P. K. Balasubramanyan, R. V. Raveendran
           CASE NO.:
Appeal (civil)  5462 of 2002
PETITIONER:
Bangalore Development Authority
RESPONDENT:
Syndicate Bank
DATE OF JUDGMENT: 17/05/2007
BENCH:
P. K. Balasubramanyan & R. V. Raveendran
JUDGMENT:
J U D G M E N T R. V. RAVEENDRAN J.
This appeal by Special Leave is filed against the order dated 11.04.2002, passed by the National
Consumer Dispute Redressal Commission ('Commission' for short) in O.P.No. 21 of 1995.
The Facts
2. The Banglore Development Authority (Appellant herein, 'BDA' for short) introduced a ""Self
Financing Housing Scheme"" for construction of flats/houses in Banglore in the year 1982. The said
Scheme contemplated construction of three types of flats/houses categorized as Higher Income
Group, Middle Income Group, and Low Income Group ('HIG', 'MIG', and 'LIG' for short). Under the
said scheme an applicant for allotment wa"
Ishikawajma Harima Heavy Industries vs Director Of Income Tax Mumbai,Ishikawajma-Harima Heavy Industries Ltd,"Director of Income Tax, Mumbai",2007,4 January 2007,,,"Article
12; article 7(1); Article 12(5); Article 7(1); Article 5",AIR 2007 SC 929,,,Ishikawajma_Harima_Heavy_Industries_vs_Director_Of_Income_Tax_Mumbai_on_4_January_2007_1.PDF,2007,"Ishikawajma-Harima Heavy Industries ... vs Director Of Income
Tax, Mumbai on 4 January, 2007
Equivalent citations: AIR 2007 SUPREME COURT 929, 2007 AIR SCW 678,
2007 (2) AIR BOM R 230, 2007 TAX. L. R. 360, 2007 (3) SCC 481, (2007) 288
ITR 408, (2007) 1 SUPREME 473, (2007) 198 TAXATION 103, (2007) 1 SCALE
140
Author: S.B. Sinha
Bench: S.B. Sinha, Dalveer Bhandari
           CASE NO.:
Appeal (civil)  9 of 2007
PETITIONER:
Ishikawajma-Harima Heavy Industries Ltd
RESPONDENT:
Director of Income Tax,  Mumbai
DATE OF JUDGMENT: 04/01/2007
BENCH:
S.B. Sinha & Dalveer Bhandari
JUDGMENT:
J U D G M E N T [Arising out of SLP (Civil) No.5318 of 2005] S.B. SINHA, J :
Leave granted.
Appellant herein is a company incorporated in Japan. It is a resident of the said
country. It pays its taxes in Japan. It is engaged, inter alia, in the business of
construction of storage tanks as also engineering etc. It formed a consortium along
with Ballast Nedam International BV, Itochu Corporation, Mitsui & Co. Ltd., Toyo
Engineering Corporation and Toyo Engineering (India) Ltd. With the said
consortium members, it entered into an agreement with Petronet LNG Limited
(hereinafter referred to as ""the Petronet"") on 19.01.2001 for setting up a Liquefied
Natural Gas (LNG) receiving storage and degasification facility at Dahej in the State
of Gujarat. A supplementary agreement was entered into by the parties on
19.03.2001. The contract envisaged a turnkey project. Role and responsibility of each
member of the con"
Kishore Lal vs Chairman Employees State Insurance,Kishore Lal,"Chairman, Employees State Insurance Corporation",2007,8 May 2007,,SCDRC Appeal,"Consumer Protection Act, 1986",,upheld,,Kishore_Lal_vs_Chairman_Employees_State_Insurance_on_8_May_2007_1.PDF,2007,"Kishore Lal vs Chairman, Employees State Insurance ... on 8
May, 2007
Bench: B.N. Agrawal, P.P. Naolekar, Dalveer Bhandari
           CASE NO.:
Appeal (civil)  4965 of 2000
PETITIONER:
Kishore Lal
RESPONDENT:
Chairman, Employees State Insurance Corporation
DATE OF JUDGMENT: 08/05/2007
BENCH:
B.N. AGRAWAL, P.P. NAOLEKAR & DALVEER BHANDARI
JUDGMENT:
J U D G M E N T P.P. NAOLEKAR, J.:
1. The appellant was insured with the respondent-Employees' State Insurance
Corporation (for short ""the Corporation"") with Insurance No. 913644. The
employee's/appellant's contribution towards the insurance scheme under the
Employees' State Insurance Act, 1948 (hereinafter referred to as ""the ESI Act"") was
being deducted regularly from his salary and deposited by his employer with the
Corporation. In 1993, the appellant's wife was admitted in the ESI dispensary at
Sonepat for her treatment for diabetes. However, the condition of his wife continued
to deteriorate. As alleged by the appellant, there were instances when the doctors
were not available even during emergencies.
Later, the appellant got his wife medically examined in a private hospital. The tests done revealed
that his wife had been diagnosed incorrectly in the ESI dispensary; and that the deterioration in the
condition of the appellant's wife was a direct result of the wrong diagnosis. The appellant filed a
complaint under the Consumer Protection Act, 1986 (hereinafter referred to as ""the CP Act"") before
the District Consumer Disputes Re"
Maharashtra Electricity Regulatory vs Reliance Energy Ltd Ors,Maharashtra Electricity Regulatory Commission,Reliance Energy Ltd. & Ors.,2007,14 August 2007,,SCDRC Appeal,,AIR 2008 SC 976,,,Maharashtra_Electricity_Regulatory_vs_Reliance_Energy_Ltd_Ors_on_14_August_2007_1.PDF,2007,"Maharashtra Electricity Regulatory ... vs Reliance Energy Ltd. &
Ors on 14 August, 2007
Equivalent citations: AIR 2008 SUPREME COURT 976, 2008 AIR SCW 513,
2008 (2) AIR BOM R 119, 2007 (8) SCC 381, (2007) 10 SCALE 279, (2007) 2
WLC(SC)CVL 777, (2007) 4 ALL WC 3662, 2008 (4) ALLMR (NOC) 1, (2008) 1
BOM CR 738
Bench: A.K.Mathur, Markandey Katju
           CASE NO.:
Appeal (civil)  2846 of 2006
PETITIONER:
Maharashtra Electricity Regulatory Commission
RESPONDENT:
Reliance Energy Ltd. & Ors.
DATE OF JUDGMENT: 14/08/2007
BENCH:
A.K.MATHUR & MARKANDEY KATJU
JUDGMENT:
J U D G M E N T
1. This appeal under Section 125 of the of the Electricity Act, 2003 (hereinafter for short ""the Act"") is
directed against the judgment and order dated 29th March, 2006 passed by the Appellate Tribunal
for Electricity whereby the Appellate Tribunal has allowed the appeals filed by the distribution
companies and set aside the orders passed by the Maharashtra Electricity Regulatory Commission
(hereinafter for short ""The Commission"") dated 23.2.2005. The Commission on 3.8.2004 addressed
a notice to all its licensees/distribution companies in Maharashtra and made an inquiry from them
with regard to raising of the bills by the said licensees/distribution companies on the basis other
than the actual meter reading for the relevant period, when large variations in consumption were
noticed, or for other reasons. The notice dated 3.8.2004 sent by the Commission to all its
licensees/distribution companies reads as"
Manager Icici Bank Ltd vs Prakash Kaur Ors,"Manager, ICICI Bank Ltd",Prakash Kaur & Ors,2007,26 February 2007,,,,AIR 2007 SC 1349,,,Manager_Icici_Bank_Ltd_vs_Prakash_Kaur_Ors_on_26_February_2007_1.PDF,2007,"Manager, Icici Bank Ltd vs Prakash Kaur & Ors on 26 February,
2007
Equivalent citations: 2007 (1) JKJ 23, AIR 2007 SUPREME COURT 1349, 2007
AIR SCW 1667, 2007 (3) ALL LJ 245, 2007 (3) AIR KAR R 128, 2007 CLC 465
(SC), (2007) 2 CURLJ(CCR) 572, (2007) 2 CTC 334 (SC), (2007) 1 JCC 681 (SC),
(2007) 3 JCR 175 (SC), (2007) 36 OCR 815, 2007 CRILR(SC&MP) 264, (2007) 52
ALLINDCAS 113 (SC), 2007 (3) SCALE 507, 2007 (2) SCC 711, 2007 (1) JCC
681, 2007 (2) CALCRILR 315, 2007 (2) CTC 334, (2007) 1 CURCRIR 538, (2007)
2 NIJ 458, (2007) 2 BANKJ 729, (2007) 2 CAL HN 63, (2007) 2 CHANDCRIC 240,
(2007) 1 KER LJ 846, (2007) 1 MAD LJ(CRI) 1031, (2007) 2 BANKCAS 226,
(2007) 1 MAD LW 880, (2007) 138 DLT 248, (2007) 136 COMCAS 327, (2007) 1
CRIMES 407, (2007) 3 CIVLJ 860, 2007 CHANDLR(CIV&CRI) 231, 2007
CRILR(SC MAH GUJ) 264, (2007) 1 MADLW(CRI) 223, (2007) 2 MAD LJ 854,
(2007) 1 ORISSA LR 472, (2007) 2 RAJ CRI C 751, (2007) 2 RAJ LW 1229,
(2007) 2 RECCRIR 76, (2007) 3 ANDHLD 79, (2007) 2 SUPREME 422, (2007) 2
ALLCRIR 2023, (2007) 3 SCALE 507, (2007) 2 UC 850, (2007) 67 ALL LR 179,
(2007) 3 ALLCRILR 207, (2007) 78 CORLA 30, (2007) 2 RAJ CRI C 757, (2007) 2
BANKCLR 4
Author: Ar. Lakshmanan
Bench: Ar. Lakshmanan, Altamas Kabir
           CASE NO.:
Appeal (crl.)  267 of 2007
PETITIONER:
Manager, ICICI Bank Ltd
RESPONDENT:
Prakash Kaur & Ors
DATE OF JUDGMENT: 26/02/2007
BENCH:
Dr. AR. Lakshmanan & Altamas Kabir
JUDGMENT:
J U D G M E N T (Arising Out of SLP (Crl.) No. 15 OF 2007) Dr. AR. Lakshmanan, J.
"
M S Binani Industries Ltd Kerala vs Assistant Commissioner Of Commercial,"M/s Binani Industries Ltd., Kerala","Assistant Commissioner of Commercial Taxes, VI Circle, Bangalore and Ors",2007,4 April 2007,,,,,,,M_S_Binani_Industries_Ltd_Kerala_vs_Assistant_Commissioner_Of_Commercial_on_4_April_2007_1.PDF,2007,"M/S Binani Industries Ltd., Kerala vs Assistant Commissioner Of
Commercial ... on 4 April, 2007
Equivalent citations: 2007 AIR SCW 3071, 2007 (4) AIR KAR R 295, AIR 2007
SC (SUPP) 338, (2007) 5 SCALE 429, (2007) 3 SUPREME 416
Author: Arijit Pasayat
Bench: Arijit Pasayat, S.H. Kapadia
           CASE NO.:
Appeal (civil)  1784 of 2007
PETITIONER:
M/s Binani Industries Ltd., Kerala
RESPONDENT:
Assistant Commissioner of Commercial Taxes, VI Circle, Bangalore and Ors
DATE OF JUDGMENT: 04/04/2007
BENCH:
Dr. ARIJIT PASAYAT & S.H. KAPADIA
JUDGMENT:
J U D G M E N T CIVIL APPEAL NOS. 1784 OF 2007 (Arising out of SLP (C) Nos. 157-158 of 2006)
WITH (Civil Appeal Nos. 1785 /2007 @ SLP ) Nos. 1035-39/2006 Civil Appeal Nos. 1786 /2007@
SLP ) Nos. 1219-38/2006 Civil Appeal Nos. 1787 /2007@ SLP ) Nos. 1462-63/2006 Civil Appeal
Nos. 1788 /2007@ SLP ) Nos. 1482-1501/2006 Civil Appeal Nos. 1789 /2007@ SLP ) Nos.
1506-09/2006 Civil Appeal Nos. 1790 /2007@ SLP ) No. 6197/2006 Civil Appeal Nos. 1791 /2007@
SLP ) Nos. 6733/2006 Civil Appeal Nos. 1792 /2007@ SLP ) Nos. 6884/2006 Civil Appeal Nos.
1793 /2007@ SLP ) Nos. 9232/2006 Civil Appeal Nos. 1794 /2007@ SLP ) Nos. 8862/2006 Civil
Appeal No. 1369 of 2006 Dr. ARIJIT PASAYAT, J.
Leave granted in special leave petitions.
Challenge in these appeals is to the legality of the judgment rendered by a Division Bench of the
Karnataka High Court holding that the Circular dated 23.10.1999 (Circular No.31/1999-2000) is
valid and Circular No.5/1996-97 dated 12"
M S Heinz Italia Anr vs M S Dabur India Ltd,M/s.Heinz Italia & Anr,M/s.Dabur India Ltd,2007,18 May 2007,,,,AIR 1960 SC 142,set aside,,M_S_Heinz_Italia_Anr_vs_M_S_Dabur_India_Ltd_on_18_May_2007_1.PDF,2007,"M/S.Heinz Italia & Anr vs M/S.Dabur India Ltd on 18 May, 2007
Author: Harjit Singh Bedi
Bench: B.P. Singh, Harjit Singh Bedi
           CASE NO.:
Appeal (civil)  2756 of 2007
PETITIONER:
M/s.Heinz Italia & Anr
RESPONDENT:
M/s.Dabur India Ltd
DATE OF JUDGMENT: 18/05/2007
BENCH:
B.P. SINGH & HARJIT SINGH BEDI
JUDGMENT:
J U D G M E N T CIVIL APPEAL No 2756/2007 (arising out of S.L.P.(C) No. 59/2006) HARJIT
SINGH BEDI,J.
1. Leave granted.
2. This appeal arises out of the judgment and order dated 27th October 2005 of the Punjab and
Haryana High Court whereby the order of the trial court dated 11thDecember 2003 rejecting an
application moved by the appellants under Order 39 Rules 1 and 2 of the Code of Civil Procedure
praying for the grant of ad-interim injunction, has been confirmed.
3. The plaintiffs-appellants M/s. Heinz Italia S R L is the proprietor of the trademark ""Glucon-D""
which has been registered in India under Registration No. 305664 (Class 30) under The Trade and
Merchandise Marks Act, 1958 (hereinafter called the ""Act""). This trademark had earlier been
registered in the name of Glaxo on 21st May, 1975 but subsequently vide deed of assignment dated
30th September 1994 had been assigned to the first petitioner along with the goodwill etc. Glaxo
Laboratories had also assigned their rights in the artistic work used on the packaging. The
plaintiffs-appellants thereupon used the trademark ""Glucon-D"" and the ""packaging"" from the year
1994 to 2002 without any interference and"
